City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Benjamin Constant,BR,-4.3831,-70.0311,84.33,83,0,2.3,clear sky
80,Pilar,BR,-9.5972,-35.9567,76.93,66,97,8.25,overcast clouds
81,Ulaanbaatar,MN,47.9077,106.8832,-21.87,69,0,2.24,clear sky
82,Dunedin,NZ,-45.8742,170.5036,53.8,81,58,7.0,broken clouds
83,Paamiut,GL,61.994,-49.6678,-4.04,86,77,10.51,broken clouds
84,North Bend,US,43.4065,-124.2243,60.24,80,0,9.22,clear sky
85,Salalah,OM,17.0151,54.0924,75.29,69,40,5.75,scattered clouds
86,Bichura,RU,50.5881,107.6022,1.54,91,94,3.51,overcast clouds
87,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.36,83,32,26.91,scattered clouds
88,College,US,64.8569,-147.8028,15.8,78,75,3.44,broken clouds
89,Heze,CN,35.2431,115.4411,29.75,31,99,1.86,overcast clouds
90,Bengkulu,ID,-3.8004,102.2655,72.93,95,100,9.95,light rain
91,Puerto Ayora,EC,-0.7393,-90.3518,78.55,84,70,5.99,broken clouds
92,Mantua,IT,45.1667,10.7833,47.48,79,0,3.11,clear sky
93,Bonavista,CA,48.6499,-53.1147,43.12,99,100,7.09,moderate rain
94,Faya,SA,18.3851,42.4509,50.52,78,7,3.53,clear sky
95,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,70.25,85,46,7.29,scattered clouds
96,Kaputa,ZM,-8.4689,29.6619,66.58,89,96,3.89,overcast clouds
97,Gazojak,TM,41.1875,61.4036,42.69,90,99,23.91,overcast clouds
98,Lompoc,US,34.6391,-120.4579,75.51,30,0,13.8,clear sky
99,Mount Gambier,AU,-37.8333,140.7667,65.77,55,62,7.43,broken clouds
100,Felipe Carrillo Puerto,MX,19.5833,-88.05,76.6,83,58,3.4,broken clouds
101,Bandarbeyla,SO,9.4942,50.8122,74.19,72,81,9.28,broken clouds
102,Jiazi,CN,22.8779,116.067,55.8,78,100,19.89,overcast clouds
103,Namibe,AO,-15.1961,12.1522,73.35,67,100,10.49,overcast clouds
104,Severo-Kurilsk,RU,50.6789,156.125,28.36,82,99,7.9,overcast clouds
105,Kapaa,US,22.0752,-159.319,79.48,68,0,1.01,clear sky
106,Saint Anthony,US,45.0205,-93.218,25.14,63,0,5.99,clear sky
