City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Arraial Do Cabo,BR,2022-01-30 06:27:16,-22.9661,-42.0278,75.42,94,100,7.92
68,Ponta Do Sol,PT,2022-01-30 06:27:16,32.6667,-17.1,61.43,35,2,6.91
69,Hilo,US,2022-01-30 06:22:34,19.7297,-155.09,69.8,79,75,5.75
70,Carnarvon,AU,2022-01-30 06:27:17,-24.8667,113.6333,86.07,62,61,18.41
71,Anadyr,RU,2022-01-30 06:27:17,64.75,177.4833,-8.9,77,100,0.0
72,Cherskiy,RU,2022-01-30 06:27:17,68.75,161.3,-25.19,100,100,2.37
73,Kastamonu,TR,2022-01-30 06:27:17,41.5,33.6667,21.22,94,93,1.74
74,Caernarfon,GB,2022-01-30 06:27:18,53.1413,-4.2702,41.68,48,50,5.75
75,Deputatskiy,RU,2022-01-30 06:27:18,69.3,139.9,-22.74,100,89,3.02
76,Yellowknife,CA,2022-01-30 06:24:01,62.456,-114.3525,-16.58,82,20,8.05
77,Puerto Escondido,MX,2022-01-30 06:27:18,15.85,-97.0667,74.89,60,0,6.38
78,Butaritari,KI,2022-01-30 06:27:18,3.0707,172.7902,82.54,74,38,15.66
79,San Matias,BO,2022-01-30 06:27:19,-16.3667,-58.4,72.61,97,100,3.33
80,Berlevag,NO,2022-01-30 06:27:19,70.8578,29.0864,27.23,76,99,8.59
81,Cabo San Lucas,MX,2022-01-30 06:25:06,22.8909,-109.9124,70.52,73,6,8.37
82,Jamestown,US,2022-01-30 06:25:43,42.097,-79.2353,6.39,51,0,8.05
83,Urumqi,CN,2022-01-30 06:22:25,43.801,87.6005,2.35,85,100,4.47
84,Anlu,CN,2022-01-30 06:27:19,31.1661,112.5831,45.0,54,24,2.13
85,Namibe,AO,2022-01-30 06:27:20,-15.1961,12.1522,70.56,76,100,3.33
86,Flinders,AU,2022-01-30 06:27:20,-34.5833,150.8552,83.8,74,81,6.85
87,Mount Gambier,AU,2022-01-30 06:27:20,-37.8333,140.7667,80.51,54,41,10.36
88,Luderitz,NA,2022-01-30 06:27:20,-26.6481,15.1594,65.25,85,14,10.29
89,Mar Del Plata,AR,2022-01-30 06:27:21,-38.0023,-57.5575,71.1,85,0,5.99
90,Santander,ES,2022-01-30 06:23:45,43.4647,-3.8044,42.6,71,100,5.01
91,Ngunguru,NZ,2022-01-30 06:27:21,-35.6167,174.5,70.16,68,71,8.03
92,Laguna,US,2022-01-30 06:27:21,38.421,-121.4238,53.4,84,0,3.44
93,Matamoros,MX,2022-01-30 06:27:21,25.5333,-103.25,50.11,55,4,2.19
94,Kapaa,US,2022-01-30 06:27:22,22.0752,-159.319,73.38,72,0,3.44
95,Fort Saint James,CA,2022-01-30 06:28:22,54.4333,-124.25,12.54,100,71,1.66
96,Hun,LY,2022-01-30 06:28:22,29.1268,15.9477,44.1,79,5,12.91
97,Raudeberg,NO,2022-01-30 06:28:22,61.9875,5.1352,36.27,67,97,5.99
98,La Gomera,GT,2022-01-30 06:28:23,14.0833,-91.05,75.27,70,9,5.61
99,Yumen,CN,2022-01-30 06:28:23,40.2833,97.2,21.69,37,0,8.55
100,Dwarka,IN,2022-01-30 06:28:23,22.2394,68.9678,72.93,47,1,4.88
101,Ribeira Grande,PT,2022-01-30 06:28:23,38.5167,-28.7,58.62,76,66,16.04
102,Kaura Namoda,NG,2022-01-30 06:28:24,12.5898,6.5779,58.93,16,18,12.46
103,Olinda,BR,2022-01-30 06:28:24,-8.0089,-34.8553,80.33,78,75,5.75
104,Sarahan,IN,2022-01-30 06:28:24,31.5167,77.8,44.91,39,0,4.81
105,Shache,CN,2022-01-30 06:28:24,38.4167,77.2406,35.64,30,13,5.64
106,Klaksvik,FO,2022-01-30 06:28:25,62.2266,-6.589,32.92,73,100,15.68
107,Hyeres,FR,2022-01-30 06:28:25,43.1167,6.1167,40.75,81,0,6.91
108,Marau,BR,2022-01-30 06:27:39,-28.4492,-52.2,60.33,88,83,5.53
109,Ballina,AU,2022-01-30 06:28:25,-28.8667,153.5667,82.58,78,100,12.66
110,Upernavik,GL,2022-01-30 06:28:26,72.7868,-56.1549,-3.46,99,100,7.0
111,Aban,RU,2022-01-30 06:28:26,56.67,96.06,4.8,90,100,3.42
112,Salalah,OM,2022-01-30 06:28:26,17.0151,54.0924,76.1,40,92,0.83
113,Bengkulu,ID,2022-01-30 06:28:27,-3.8004,102.2655,84.58,70,99,10.58
114,Thompson,CA,2022-01-30 06:26:33,55.7435,-97.8558,-7.44,77,100,2.3
115,Te Anau,NZ,2022-01-30 06:28:27,-45.4167,167.7167,65.1,74,100,2.28
116,Asau,RO,2022-01-30 06:28:27,46.4333,26.4,37.76,73,95,11.14
117,Cayenne,GF,2022-01-30 06:28:27,4.9333,-52.3333,78.1,87,40,4.0
